weight,age_group,sex,province,visibile_minority,family_income,main_activity,likely_future_edu,desired_future_edu,obstacles,obstacles_future_edu
7713.1151,15 to 24 years,Female,Ontario,Visible minority,"$75,000 to $99,999",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
4256.8244,15 to 24 years,Female,Ontario,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
3159.3531,15 to 24 years,Female,Ontario,Visible minority,"Less than $25,000",Going to school,University Master's degree,University Master's degree,No,"NA"
2228.1825,15 to 24 years,Female,Alberta,Not a visible minority,"$100,000 to $124,999",Going to school,University Master's degree,Ph.D. (university-earned doctorate),No,"NA"
5553.5657,15 to 24 years,Female,Quebec,Not a visible minority,"$100,000 to $124,999",Going to school,University Master's degree,University Master's degree,Yes,Other - Specify
4638.216,15 to 24 years,Male,Quebec,Not a visible minority,"Less than $25,000",Going to school,Non-college/Private/Commercial Certificate/Diploma,Non-college/Private/Commercial Certificate/Diploma,No,"NA"
2166.5337,15 to 24 years,Male,Saskatchewan,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
3077.0386,15 to 24 years,Male,Quebec,Not a visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
2793.4321,15 to 24 years,Male,Quebec,Not a visible minority,"$25,000 to $49,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
1396.3858,35 to 44 years,Female,Quebec,Visible minority,"Less than $25,000",Going to school,High school diploma or graduation equivalency,High school diploma or graduation equivalency,Yes,Caring for own children
2619.1474,35 to 44 years,Male,Ontario,Visible minority,"Less than $25,000",Going to school,College or CEGEP,University bachelor's degree,No,"NA"
2248.2263,15 to 24 years,Male,Alberta,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University Master's degree,Yes,Not able to get into program
4612.7483,15 to 24 years,Female,Ontario,Not a visible minority,"$50,000 to $74,999",Going to school,"NA",University bachelor's degree,Yes,Financial situation
7154.8348,15 to 24 years,Female,Ontario,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University Master's degree,Yes,Financial situation
1693.7309,15 to 24 years,Male,Ontario,Not a visible minority,"$125,000 or more",Going to school,University Master's degree,Ph.D. (university-earned doctorate),Yes,Financial situation
2440.6327,25 to 34 years,Male,British Columbia,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,Ph.D. (university-earned doctorate),Yes,Financial situation
2958.5684,25 to 34 years,Male,Ontario,Not a visible minority,"$50,000 to $74,999",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
1264.7124,15 to 24 years,Male,New Brunswick,Not a visible minority,"$125,000 or more",Going to school,College or CEGEP,College or CEGEP,No,"NA"
1092.1293,15 to 24 years,Female,Nova Scotia,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
5416.6193,15 to 24 years,Female,Quebec,Not a visible minority,"Less than $25,000",Going to school,University Master's degree,University Master's degree,Yes,Financial situation
5260.8302,15 to 24 years,Female,Ontario,Not a visible minority,"$25,000 to $49,999",Going to school,College or CEGEP,"NA",No,"NA"
5242.3018,35 to 44 years,Male,Ontario,Visible minority,"Less than $25,000",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),Yes,Financial situation
1794.4168,15 to 24 years,Female,Manitoba,Visible minority,"Less than $25,000",Going to school,Non-college/Private/Commercial Certificate/Diploma,University bachelor's degree,No,"NA"
1074.0587,15 to 24 years,Male,Saskatchewan,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,Ph.D. (university-earned doctorate),No,"NA"
208.3507,25 to 34 years,Female,Newfoundland and Labroador,Not a visible minority,"$75,000 to $99,999",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
6257.0368,25 to 34 years,Male,British Columbia,Visible minority,"$50,000 to $74,999",Going to school,Non-college/Private/Commercial Certificate/Diploma,University bachelor's degree,Yes,Financial situation
690.9017,15 to 24 years,Male,New Brunswick,Not a visible minority,"$75,000 to $99,999",Going to school,High school diploma or graduation equivalency,University bachelor's degree,Yes,Financial situation
482.6065,15 to 24 years,Female,Prince Edward Island,"NA","Less than $25,000",Going to school,University bachelor's degree,"University first professional degree, such as medicine, d...",Yes,Financial situation
1727.1661,35 to 44 years,Female,Quebec,Visible minority,"Less than $25,000",Going to school,University Master's degree,University Master's degree,Yes,Financial situation
745.7231,15 to 24 years,Male,Ontario,Not a visible minority,"$25,000 to $49,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
496.951,15 to 24 years,Female,Newfoundland and Labroador,Not a visible minority,"$75,000 to $99,999",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",No,"NA"
11313.8048,15 to 24 years,Female,British Columbia,Visible minority,"$100,000 to $124,999",Going to school,University Master's degree,University Master's degree,No,"NA"
992.713,35 to 44 years,Female,Manitoba,Visible minority,"$25,000 to $49,999",Going to school,High school diploma or graduation equivalency,University bachelor's degree,Yes,Caring for own children
3396.7051,15 to 24 years,Female,Ontario,Not a visible minority,"Less than $25,000",Going to school,University Master's degree,University Master's degree,No,"NA"
2989.3189,15 to 24 years,Male,Ontario,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,Yes,Financial situation
755.7377,15 to 24 years,Male,Newfoundland and Labroador,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
3172.7563,15 to 24 years,Male,British Columbia,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
2223.2873,15 to 24 years,Female,British Columbia,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University Master's degree,No,"NA"
1301.8947,45 to 54 years,Female,Alberta,Visible minority,"$25,000 to $49,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
3335.1397,15 to 24 years,Male,Quebec,Not a visible minority,"$25,000 to $49,999",Going to school,Other,Other,No,"NA"
388.3152,15 to 24 years,Female,Newfoundland and Labroador,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University Master's degree,No,"NA"
2317.1422,15 to 24 years,Female,British Columbia,Not a visible minority,"$100,000 to $124,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
2324.0045,25 to 34 years,Female,Alberta,Not a visible minority,"$50,000 to $74,999",Going to school,College or CEGEP,"University first professional degree, such as medicine, d...",Yes,Financial situation
1065.4546,15 to 24 years,Male,British Columbia,Visible minority,"Less than $25,000",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
1041.311,15 to 24 years,Female,Manitoba,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,Yes,Financial situation
2007.6831,15 to 24 years,Male,Quebec,Not a visible minority,"Less than $25,000",Going to school,College or CEGEP,College or CEGEP,Yes,Other - Specify
3903.1752,15 to 24 years,Male,Ontario,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
1422.3115,15 to 24 years,Male,Saskatchewan,Not a visible minority,"$125,000 or more",Going to school,University Master's degree,Ph.D. (university-earned doctorate),Yes,Takes too long
4697.9753,15 to 24 years,Male,Ontario,Not a visible minority,"$125,000 or more",Going to school,"NA","NA",No,"NA"
4364.4879,35 to 44 years,Male,Quebec,Visible minority,"Less than $25,000",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
6316.313,15 to 24 years,Female,Quebec,Not a visible minority,"$50,000 to $74,999",Going to school,Non-college/Private/Commercial Certificate/Diploma,Non-college/Private/Commercial Certificate/Diploma,No,"NA"
5327.6755,15 to 24 years,Female,Ontario,Not a visible minority,"$125,000 or more",Going to school,University Master's degree,University Master's degree,No,"NA"
3982.5097,15 to 24 years,Male,Quebec,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
5252.2736,15 to 24 years,Female,Quebec,Not a visible minority,"$125,000 or more",Going to school,College or CEGEP,College or CEGEP,No,"NA"
2914.1967,15 to 24 years,Female,Alberta,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
2329.0477,15 to 24 years,Female,Quebec,Not a visible minority,"$50,000 to $74,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
6291.1026,15 to 24 years,Female,Quebec,Not a visible minority,"$100,000 to $124,999",Going to school,Non-college/Private/Commercial Certificate/Diploma,Non-college/Private/Commercial Certificate/Diploma,No,"NA"
4726.9185,15 to 24 years,Female,British Columbia,Not a visible minority,"Less than $25,000",Going to school,Non-college/Private/Commercial Certificate/Diploma,Non-college/Private/Commercial Certificate/Diploma,No,"NA"
805.5953,25 to 34 years,Male,Nova Scotia,Not a visible minority,"$50,000 to $74,999",Going to school,College or CEGEP,College or CEGEP,Yes,Financial situation
5225.9234,15 to 24 years,Female,Ontario,Not a visible minority,"$125,000 or more",Going to school,University Master's degree,University Master's degree,No,"NA"
3428.5575,25 to 34 years,Male,Quebec,Not a visible minority,"Less than $25,000",Going to school,University Master's degree,Ph.D. (university-earned doctorate),No,"NA"
9110.3131,15 to 24 years,Male,Alberta,Visible minority,"$75,000 to $99,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
1126.5469,15 to 24 years,Male,Saskatchewan,Not a visible minority,"$125,000 or more",Going to school,University Master's degree,University Master's degree,No,"NA"
206.7601,25 to 34 years,Female,Saskatchewan,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,"University first professional degree, such as medicine, d...",No,"NA"
5596.9604,15 to 24 years,Male,Ontario,Visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
7116.4138,25 to 34 years,Male,Quebec,Not a visible minority,"$125,000 or more",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
3084.7082,15 to 24 years,Female,Alberta,Not a visible minority,"$125,000 or more",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",Yes,Financial situation
2127.2093,25 to 34 years,Male,British Columbia,Visible minority,"$75,000 to $99,999",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),Yes,Financial situation
3713.8798,15 to 24 years,Female,Ontario,Not a visible minority,"$100,000 to $124,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
3152.4649,15 to 24 years,Male,Quebec,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,University bachelor's degree,Yes,Financial situation
2217.3273,35 to 44 years,Male,Ontario,Not a visible minority,"$100,000 to $124,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
1570.5224,15 to 24 years,Female,Saskatchewan,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,University bachelor's degree,Yes,Financial situation
2080.9436,15 to 24 years,Female,Saskatchewan,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
503.6726,25 to 34 years,Female,Saskatchewan,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University Master's degree,No,"NA"
2938.3857,15 to 24 years,Female,Quebec,Not a visible minority,"$50,000 to $74,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
1486.6549,35 to 44 years,Male,British Columbia,Visible minority,"Less than $25,000",Going to school,University Master's degree,University Master's degree,No,"NA"
4282.9243,15 to 24 years,Male,Ontario,Visible minority,"$125,000 or more",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",Don't know,"NA"
2988.6357,15 to 24 years,Female,Alberta,Visible minority,"Less than $25,000",Going to school,University bachelor's degree,University bachelor's degree,Yes,Financial situation
5490.2791,15 to 24 years,Female,Alberta,Visible minority,"$75,000 to $99,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
1862.3018,15 to 24 years,Male,British Columbia,Not a visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
3079.5419,15 to 24 years,Male,Ontario,Not a visible minority,"$100,000 to $124,999",Going to school,University Master's degree,University Master's degree,Yes,Financial situation
5299.3323,25 to 34 years,Female,British Columbia,Visible minority,"$25,000 to $49,999",Going to school,University Master's degree,University Master's degree,No,"NA"
173.1326,35 to 44 years,Female,Prince Edward Island,Not a visible minority,"$25,000 to $49,999",Going to school,Non-college/Private/Commercial Certificate/Diploma,Non-college/Private/Commercial Certificate/Diploma,No,"NA"
3703.7772,15 to 24 years,Male,Ontario,Not a visible minority,"$25,000 to $49,999",Going to school,University Master's degree,University Master's degree,No,"NA"
3405.0569,15 to 24 years,Female,Alberta,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
3575.2075,15 to 24 years,Male,Ontario,Visible minority,"$50,000 to $74,999",Going to school,University Master's degree,University Master's degree,No,"NA"
3055.9125,15 to 24 years,Male,Ontario,Visible minority,"$50,000 to $74,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
5426.3178,15 to 24 years,Female,Ontario,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
1127.0881,25 to 34 years,Male,Nova Scotia,Not a visible minority,"Less than $25,000",Going to school,High school diploma or graduation equivalency,Non-college/Private/Commercial Certificate/Diploma,Yes,Financial situation
5362.8112,15 to 24 years,Male,Ontario,Not a visible minority,"$75,000 to $99,999",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",No,"NA"
13666.971,15 to 24 years,Male,Ontario,Visible minority,"$125,000 or more",Going to school,College or CEGEP,College or CEGEP,No,"NA"
2303.3281,15 to 24 years,Female,Ontario,Not a visible minority,"$25,000 to $49,999",Going to school,University Master's degree,University Master's degree,Yes,Not able to get into program
1500.3391,15 to 24 years,Male,Quebec,Not a visible minority,"$100,000 to $124,999",Going to school,University Master's degree,University Master's degree,Yes,Financial situation
4744.4588,15 to 24 years,Female,Quebec,Not a visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
985.7862,35 to 44 years,Male,Ontario,Not a visible minority,"$25,000 to $49,999",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),Yes,Financial situation
1151.1227,25 to 34 years,Male,New Brunswick,Not a visible minority,"$125,000 or more",Going to school,College or CEGEP,College or CEGEP,No,"NA"
75.5009,15 to 24 years,Female,Newfoundland and Labroador,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
542.768,15 to 24 years,Female,Ontario,Not a visible minority,"Less than $25,000",Going to school,College or CEGEP,College or CEGEP,No,"NA"
3096.1016,15 to 24 years,Female,Ontario,Visible minority,"$50,000 to $74,999",Going to school,High school diploma or graduation equivalency,University bachelor's degree,No,"NA"
3702.5653,15 to 24 years,Male,Manitoba,Not a visible minority,"$125,000 or more",Going to school,College or CEGEP,"University first professional degree, such as medicine, d...",No,"NA"
996.4832,15 to 24 years,Male,Saskatchewan,Not a visible minority,"$50,000 to $74,999",Going to school,University bachelor's degree,University Master's degree,No,"NA"
3866.1257,15 to 24 years,Female,Alberta,Visible minority,"$50,000 to $74,999",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",No,"NA"
4252.403,15 to 24 years,Male,Ontario,Not a visible minority,"$50,000 to $74,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
2474.1946,15 to 24 years,Male,Quebec,Visible minority,"$50,000 to $74,999",Going to school,University Master's degree,University Master's degree,No,"NA"
6127.1391,15 to 24 years,Female,Ontario,Not a visible minority,"Less than $25,000",Going to school,"University first professional degree, such as medicine, d...",University Master's degree,Yes,Financial situation
490.5896,45 to 54 years,Female,British Columbia,Not a visible minority,"Less than $25,000",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",No,"NA"
2948.9185,15 to 24 years,Female,Ontario,Visible minority,"$25,000 to $49,999",Going to school,"NA","NA","NA","NA"
7193.5879,15 to 24 years,Female,Ontario,Visible minority,"$125,000 or more",Going to school,College or CEGEP,University Master's degree,No,"NA"
1097.7313,35 to 44 years,Female,Ontario,Visible minority,"Less than $25,000",Going to school,"NA","NA",No,"NA"
5595.8076,15 to 24 years,Female,British Columbia,Visible minority,"Less than $25,000",Going to school,University Master's degree,University Master's degree,Yes,Not able to get into program
2260.9098,25 to 34 years,Female,Quebec,Not a visible minority,"$75,000 to $99,999",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),Yes,Takes too long
1486.5387,15 to 24 years,Female,Ontario,Visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University Master's degree,No,"NA"
1662.5898,15 to 24 years,Female,Ontario,Visible minority,"Less than $25,000",Going to school,University Master's degree,University bachelor's degree,No,"NA"
276.1789,15 to 24 years,Male,Newfoundland and Labroador,Not a visible minority,"$125,000 or more",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
2191.6919,15 to 24 years,Female,New Brunswick,Not a visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University Master's degree,No,"NA"
4527.5437,15 to 24 years,Female,Quebec,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
2250.9025,25 to 34 years,Female,Ontario,Visible minority,"$25,000 to $49,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
2052.6639,15 to 24 years,Male,Quebec,Visible minority,"$125,000 or more",Going to school,University Master's degree,University Master's degree,Yes,Not able to get into program
2912.9703,15 to 24 years,Female,Nova Scotia,Not a visible minority,"$125,000 or more",Going to school,High school diploma or graduation equivalency,High school diploma or graduation equivalency,No,"NA"
1693.7309,15 to 24 years,Male,Ontario,Not a visible minority,"$125,000 or more",Going to school,College or CEGEP,College or CEGEP,No,"NA"
264.4337,15 to 24 years,Male,Newfoundland and Labroador,Not a visible minority,"Less than $25,000",Going to school,University Master's degree,University Master's degree,Yes,Financial situation
2127.6853,15 to 24 years,Male,Alberta,Not a visible minority,"$25,000 to $49,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
6883.9399,15 to 24 years,Female,Ontario,Not a visible minority,"$125,000 or more",Going to school,High school diploma or graduation equivalency,University bachelor's degree,No,"NA"
2589.5661,45 to 54 years,Male,British Columbia,Visible minority,"$50,000 to $74,999",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),Yes,Financial situation
938.4558,25 to 34 years,Female,Newfoundland and Labroador,Not a visible minority,"$25,000 to $49,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
1303.887,45 to 54 years,Female,Ontario,Visible minority,"$25,000 to $49,999",Going to school,Other,University Master's degree,Yes,Financial situation
311.648,15 to 24 years,Female,Prince Edward Island,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,Yes,Financial situation
4435.7105,15 to 24 years,Female,Alberta,Not a visible minority,"$25,000 to $49,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
4349.7586,15 to 24 years,Male,Quebec,Visible minority,"$125,000 or more",Going to school,University Master's degree,University Master's degree,No,"NA"
955.5285,15 to 24 years,Female,Saskatchewan,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
6281.6445,15 to 24 years,Male,British Columbia,Not a visible minority,"$50,000 to $74,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
1406.2319,25 to 34 years,Female,Ontario,"NA","$125,000 or more",Going to school,Non-college/Private/Commercial Certificate/Diploma,University bachelor's degree,Yes,Caring for own children
1149.5859,15 to 24 years,Female,Nova Scotia,Not a visible minority,"$75,000 to $99,999",Going to school,High school diploma or graduation equivalency,College or CEGEP,Yes,Financial situation
8088.7032,15 to 24 years,Female,Ontario,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
349.4098,15 to 24 years,Male,Nova Scotia,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,Ph.D. (university-earned doctorate),Yes,Financial situation
5263.5,15 to 24 years,Male,Alberta,Visible minority,"$75,000 to $99,999",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",Yes,Financial situation
839.4843,15 to 24 years,Female,Nova Scotia,Not a visible minority,"$25,000 to $49,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
8270.5613,15 to 24 years,Female,Ontario,Not a visible minority,"$125,000 or more",Going to school,College or CEGEP,College or CEGEP,No,"NA"
3424.4362,15 to 24 years,Male,Ontario,Not a visible minority,"$25,000 to $49,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
3019.0524,15 to 24 years,Male,Quebec,Not a visible minority,"Less than $25,000",Going to school,University Master's degree,University Master's degree,Yes,Financial situation
8546.1925,15 to 24 years,Female,Ontario,Visible minority,"Less than $25,000",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",No,"NA"
9481.4522,15 to 24 years,Female,Ontario,Visible minority,"$125,000 or more",Going to school,"University first professional degree, such as medicine, d...",University Master's degree,Yes,Financial situation
7362.3332,25 to 34 years,Female,Quebec,Visible minority,"Less than $25,000",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),Yes,Caring for own children
1303.2037,25 to 34 years,Male,Quebec,Not a visible minority,"Less than $25,000",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
164.3849,15 to 24 years,Female,Newfoundland and Labroador,Not a visible minority,"$50,000 to $74,999",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),Yes,Financial situation
1888.6842,15 to 24 years,Male,British Columbia,Visible minority,"$125,000 or more",Going to school,Non-college/Private/Commercial Certificate/Diploma,Non-college/Private/Commercial Certificate/Diploma,No,"NA"
483.333,35 to 44 years,Male,Newfoundland and Labroador,Not a visible minority,"Less than $25,000",Going to school,College or CEGEP,College or CEGEP,No,"NA"
1116.2153,35 to 44 years,Female,Ontario,Visible minority,"$125,000 or more",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
2191.4902,15 to 24 years,Male,Quebec,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,College or CEGEP,Yes,Takes too long
5352.4677,15 to 24 years,Female,Quebec,Not a visible minority,"$25,000 to $49,999",Going to school,University Master's degree,Ph.D. (university-earned doctorate),No,"NA"
6752.4967,15 to 24 years,Male,Alberta,Visible minority,"$125,000 or more",Going to school,"University first professional degree, such as medicine, d...",Ph.D. (university-earned doctorate),No,"NA"
4380.133,15 to 24 years,Female,Ontario,Visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
2732.4131,15 to 24 years,Male,Ontario,Not a visible minority,"$50,000 to $74,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
605.3144,15 to 24 years,Female,Alberta,Not a visible minority,"$75,000 to $99,999",Going to school,University Master's degree,University Master's degree,Yes,Financial situation
3579.2065,15 to 24 years,Male,Ontario,Visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
1927.4876,15 to 24 years,Female,Quebec,Not a visible minority,"Less than $25,000",Going to school,University Master's degree,University Master's degree,No,"NA"
5214.9861,15 to 24 years,Male,Ontario,Visible minority,"$125,000 or more",Going to school,University Master's degree,Ph.D. (university-earned doctorate),Yes,Not able to get into program
1187.5901,15 to 24 years,Female,British Columbia,Not a visible minority,"$25,000 to $49,999",Going to school,University bachelor's degree,"NA",No,"NA"
3669.8761,15 to 24 years,Female,Manitoba,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,Yes,Financial situation
4180.954,25 to 34 years,Male,Ontario,Not a visible minority,"$100,000 to $124,999",Going to school,University bachelor's degree,University Master's degree,Yes,Not able to get into program
2022.289,15 to 24 years,Female,Ontario,Visible minority,"Less than $25,000",Going to school,University bachelor's degree,University Master's degree,Yes,Financial situation
1649.2634,35 to 44 years,Male,Ontario,Visible minority,"$25,000 to $49,999",Going to school,College or CEGEP,University Master's degree,No,"NA"
4142.3372,15 to 24 years,Female,Alberta,Visible minority,"Less than $25,000",Going to school,University bachelor's degree,University Master's degree,No,"NA"
1908.6634,35 to 44 years,Female,Ontario,Not a visible minority,"$125,000 or more",Going to school,College or CEGEP,College or CEGEP,No,"NA"
3270.5464,15 to 24 years,Female,Quebec,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
2112.3272,25 to 34 years,Female,Saskatchewan,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University Master's degree,Yes,Financial situation
380.3157,15 to 24 years,Male,Prince Edward Island,Not a visible minority,"$100,000 to $124,999",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
718.3899,15 to 24 years,Female,Manitoba,Visible minority,"$50,000 to $74,999",Going to school,College or CEGEP,"University first professional degree, such as medicine, d...",No,"NA"
5506.5042,15 to 24 years,Female,Ontario,Visible minority,"$125,000 or more",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",No,"NA"
2189.617,25 to 34 years,Female,Ontario,Visible minority,"$75,000 to $99,999",Going to school,Non-college/Private/Commercial Certificate/Diploma,Non-college/Private/Commercial Certificate/Diploma,No,"NA"
849.9734,15 to 24 years,Male,Saskatchewan,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
